feat,/fit/,noun,"C2 something difficult needing a lot of skill, strength, courage, etc. to achieve it",The Eiffel Tower is a remarkable feat of engineering.,"accomplishment, adventure, deed, exploit, performance"
novel,/ˈnɑv·əl/,adjective,"new and original, not like anything seen before",Keeping a sheep in the garden is a novel way of keeping the grass short!,"different, innovative, odd, offbeat, peculiar"
retain,/rɪˈteɪn/,verb,C2 formal to keep or continue to have something,She has lost her battle to retain control of the company.,"absorb, cling, contain, enjoy, have"
immense,/ɪˈmen·sɪ·t̬i/,adjective,C1 extremely large in size or degree,immense wealth/value,"boundless, colossal, endless, enormous, extensive"
niche,/nɪtʃ/,noun,"a job or position that is very suitable for someone, especially one that they like",He has carved/made a niche for himself as a financial advisor.,"alcove, slot"
delve,/delv/,verb,"to search, especially as if by digging, in order to find a thing or information",She delved into her pocket to find some change.,"burrow, inquire"
obsolete,/ˈɒbsəliːt/,adjective,"C1 not in use any more, having been replaced by something newer and better or more fashionable",Gas lamps became obsolete when electric lighting was invented.,"antiquated, archaic, out-of-date, outmoded"
corrupted,/kəˈrʌpt/,verb,past simple and past participle of corrupt ,The study claimed that violence on television corrupts the minds of children.,depraved
hands-on,/ˌhændzˈɒn/,adjective,Someone with a hands-on way of doing things becomes closely involved in managing and organizing things and in making decisions,She's very much a hands-on manager.,firsthand
onerous,"/ˈɑn·ə·rəs, ˈoʊ·nə-/",adjective,difficult to do or needing a lot of effort,the onerous task of finding a peaceful solution,"arduous, backbreaking, burdensome, cumbersome, demanding"
flame,/fleɪm/,noun,"B2 [ C or U ] a stream of hot, burning gas from something on fire",The flames grew larger as the fire spread.,"blaze, conflagration, flare, flash, light"
occupant,/ˈɒkjəpənt/,noun,a person who lives or works in a room or building,The previous occupants were an Italian family.,"denizen, dweller, holder, incumbent, inhabitant"
timeless,/ˈtɑɪm·ləs/,adjective,Something that is timeless does not change as the years go past,The city has a timeless quality as if it had existed forever.,"abiding, ageless, endless, enduring, immortal"
claw,/klɔː/,noun,one of the sharp curved nails at the end of each of the toes of some animals and birds,Our cat likes to sharpen her claws on the legs of the dining table.,"fingernail, paw, tentacle"
hurl,/ˈhɜrl/,verb,"to throw something with a lot of force, usually in an angry or violent way",In a fit of temper he hurled the book across the room.,"fire, fling, heave, lob, sling"
vertical,/ˈvɜːtɪkəl/,adjective,C1 standing or pointing straight up or at an angle of 90° to a horizontal surface or line,vertical lines/stripes,steep
sheer,/ʃɪr/,adjective,"C1 [ before noun ] used to emphasize how very great, important, or powerful a quality or feeling is; nothing except",The suggestion is sheer nonsense.,"arduous, headlong, perpendicular, precipitous, sideling"
relentless,/rɪˈlent·lə·sli/,adjective,C2 continuing in a severe or extreme way,relentless criticism/pressure,"determined, dogged, ferocious, fierce, harsh"
insulate ,/ˈɪnsjəleɪt/,verb,"to cover and surround something with a material or substance in order to stop heat, sound, or electricity from escaping or entering",You can insulate a house against heat loss by having the windows double-glazed.,"cushion, isolate, seclude, sequester, shield"
solitary,/ˈsɑl·əˌter·i/,adjective,C2 A solitary person or thing is the only person or thing in a place,"On the hill, a solitary figure was busy chopping down trees.","lone, lonely, singular"
drape,/dreɪp/,verb,to put something such as cloth or a piece of clothing loosely over something,He draped his jacket over the back of the chair and sat down to eat.,"cloak, clothe, cover, dangle, don"
